account_id,company,segment,geography,priority,stage,agent_pod,website,contact_url,public_email,public_phone,data_status
ENT-016,Swinerton,General contractor,United States and California,P1,Research,Construction,https://swinerton.com,,,,Contact enrichment required
ENT-017,McCarthy Building Companies,General contractor,United States and California,P1,Research,Construction,https://www.mccarthy.com,,,,Contact enrichment required
ENT-018,Webcor,General contractor,California,P1,Research,Construction,https://www.webcor.com,,,,Contact enrichment required
ENT-019,Rudolph and Sletten,General contractor,California,P1,Research,Construction,https://www.rsconstruction.com,,,,Contact enrichment required
ENT-020,Hathaway Dinwiddie,General contractor,California,P1,Research,Construction,https://www.hathawaydinwiddie.com,,,,Contact enrichment required
ENT-021,PCL Construction,General contractor,United States and California,P1,Research,Construction,https://www.pcl.com,,,,Contact enrichment required
ENT-022,Suffolk Construction,General contractor,United States and California,P1,Research,Construction,https://www.suffolk.com,,,,Contact enrichment required
ENT-023,Gilbane Building Company,General contractor,United States and California,P1,Research,Construction,https://www.gilbaneco.com,,,,Contact enrichment required
ENT-024,Cupertino Electric,Electrical contractor,United States and California,P1,Research,Construction,https://www.cei.com,,,,Contact enrichment required
ENT-025,Helix Electric,Electrical contractor,United States and California,P1,Research,Construction,https://www.helixelectric.com,,,,Contact enrichment required
ENT-026,Bergelectric,Electrical contractor,United States and California,P1,Research,Construction,https://www.bergelectric.com,,,,Contact enrichment required
ENT-027,ACCO Engineered Systems,Mechanical and HVAC contractor,California and West,P1,Research,Property and Controls,https://www.accoes.com,,,,Contact enrichment required
ENT-028,Southland Industries,Mechanical and building systems,United States and California,P1,Research,Property and Controls,https://southlandind.com,,,,Contact enrichment required
ENT-029,EMCOR Group,Mechanical electrical and facilities services,United States,P1,Research,Property and Controls,https://www.emcorgroup.com,,,,Contact enrichment required
ENT-030,MYR Group,Electrical construction,United States,P1,Research,Construction,https://www.myrgroup.com,,,,Contact enrichment required
ENT-031,Quanta Services,Infrastructure contracting,United States,P2,Research,Infrastructure,https://www.quantaservices.com,,,,Contact enrichment required
ENT-032,Baker Electric,Electrical and renewable energy,Southern California,P2,Research,Construction,https://bakerelectricsolar.com,,,,Contact enrichment required
ENT-033,CBRE,Commercial real estate services,United States and California,P2,Research,Property Services,https://www.cbre.com,,,,Contact enrichment required
ENT-034,JLL,Commercial real estate services,United States and California,P2,Research,Property Services,https://www.jll.com,,,,Contact enrichment required
ENT-035,Cushman and Wakefield,Commercial real estate services,United States and California,P2,Research,Property Services,https://www.cushmanwakefield.com,,,,Contact enrichment required
ENT-036,ABM Industries,Facility services,United States and California,P2,Research,Property Services,https://www.abm.com,,,,Contact enrichment required
ENT-037,The Irvine Company,Real estate owner and operator,Orange County CA,P2,Research,Property Services,https://www.irvinecompany.com,,,,Contact enrichment required
ENT-038,LBA Realty,Industrial and commercial real estate,Western United States,P2,Research,Property Services,https://lbarealty.com,,,,Contact enrichment required
ENT-039,Prologis,Logistics real estate,United States and California,P2,Research,Property Services,https://www.prologis.com,,,,Contact enrichment required
ENT-040,Rexford Industrial Realty,Industrial real estate,Southern California,P2,Research,Property Services,https://www.rexfordindustrial.com,,,,Contact enrichment required
ENT-041,Kilroy Realty,Commercial real estate,West Coast,P2,Research,Property Services,https://www.kilroyrealty.com,,,,Contact enrichment required
ENT-042,Brookfield Properties,Real estate owner and operator,United States and California,P2,Research,Property Services,https://www.brookfieldproperties.com,,,,Contact enrichment required
ENT-043,Amazon Operations,E-commerce and logistics,United States and California,P2,Research,Logistics,https://www.amazon.com,,,,Contact enrichment required
ENT-044,UPS,Transportation and logistics,United States and California,P2,Research,Logistics,https://www.ups.com,,,,Contact enrichment required
ENT-045,FedEx,Transportation and logistics,United States and California,P2,Research,Logistics,https://www.fedex.com,,,,Contact enrichment required
ENT-046,GXO Logistics,Contract logistics,United States and California,P2,Research,Logistics,https://gxo.com,,,,Contact enrichment required
ENT-047,DHL Supply Chain,Contract logistics,United States and California,P2,Research,Logistics,https://www.dhl.com,,,,Contact enrichment required
ENT-048,Ryder,Transportation and logistics,United States and California,P2,Research,Logistics,https://www.ryder.com,,,,Contact enrichment required
ENT-049,Penske Logistics,Transportation and logistics,United States and California,P2,Research,Logistics,https://www.penskelogistics.com,,,,Contact enrichment required
ENT-050,XPO,Transportation and logistics,United States and California,P2,Research,Logistics,https://www.xpo.com,,,,Contact enrichment required
ENT-051,NFI Industries,Logistics and warehousing,United States and California,P2,Research,Logistics,https://www.nfiindustries.com,,,,Contact enrichment required
ENT-052,Lineage,Cold storage and logistics,United States and California,P2,Research,Logistics,https://www.onelineage.com,,,,Contact enrichment required
ENT-053,Marriott International,Hospitality,United States and California,P2,Research,Hospitality,https://www.marriott.com,,,,Contact enrichment required
ENT-054,Hilton,Hospitality,United States and California,P2,Research,Hospitality,https://www.hilton.com,,,,Contact enrichment required
ENT-055,Hyatt,Hospitality,United States and California,P2,Research,Hospitality,https://www.hyatt.com,,,,Contact enrichment required
ENT-056,Four Seasons Hotels and Resorts,Luxury hospitality,California and national,P2,Research,Hospitality,https://www.fourseasons.com,,,,Contact enrichment required
ENT-057,Montage International,Luxury hospitality,Orange County and national,P2,Research,Hospitality,https://www.montageinternational.com,,,,Contact enrichment required
ENT-058,CentiMark,Commercial roofing,United States and California,P2,Research,Commercial Roofing,https://www.centimark.com,,,,Contact enrichment required
ENT-059,Tecta America,Commercial roofing,United States and California,P2,Research,Commercial Roofing,https://www.tectaamerica.com,,,,Contact enrichment required
ENT-060,Sunrun,Residential solar and energy,United States and California,P2,Research,Energy,https://www.sunrun.com,,,,Contact enrichment required
